//<Encoding>UTF-8</Encoding>																																																																																																																							
//<Version>ODV Spreadsheet V4.6.4</Version>																																																																																																																							
//<CreateTime>2017-12-05T09:05:29</CreateTime>																																																																																																																							
//<Software>Ocean Data View 5.0.0 - 64 bit (Windows)</Software>																																																																																																																							
//<SourceLastModified>2017-11-27T07:35:01</SourceLastModified>																																																																																																																							
//<DataField>Ocean</DataField>																																																																																																																							
//<DataType>Profiles</DataType>																																																																																																																							
//																																																																																																																							
//																																																																																																																							
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Instrument Info	P01 Codes	References	Data set name	Discipline	Category	Variables measured	Data format	Data format version	Data size	Data set creation date	Datum	Measuring area type	Water depth [m]	Depth reference	Minimum instrument depth [m]	Maximum instrument depth [m]	Start date	Start time	End date	End time	Vertical resolution	Vertical resolution unit	Instrument / gear type	Track resolution	Track resolution unit	Frequency	Frequency unit	Platform type	Cruise name	Alternative cruise name	Cruise start date	Station name	Alternative station name	Station start date	Originator	Data Holding centre	Project name	EDMED references	CSR references	Publication references	Data Distributor	Database reference	Access/ordering of data	Access restriction	CDI-record id	CDI-record creation date	CDI-partner	Depth [m]	QV:SEADATANET	ITS-90 water temperature [degrees C]	QV:SEADATANET	Water body salinity [per mille]	QV:SEADATANET	Water body dissolved oxygen concentration [umol/l]	QV:SEADATANET	Water body dissolved oxygen saturation [%]	QV:SEADATANET	Water body nitrate [umol/l]	QV:SEADATANET	Water body nitrate plus nitrite [umol/l]	QV:SEADATANET	Water body nitrite [umol/l]	QV:SEADATANET	Water body phosphate [umol/l]	QV:SEADATANET	Water body silicate [umol/l]	QV:SEADATANET	Water body ammonium [umol/l]	QV:SEADATANET	Water body urea [umol/l]	QV:SEADATANET	Water body chlorophyll-a [mg/m^3]	QV:SEADATANET	Water body chlorophyll-b [mg/m^3]	QV:SEADATANET	Water body chlorophyll-c [mg/m^3]	QV:SEADATANET	Water body phaeopigments [mg/m^3]	QV:SEADATANET	Water body total alkalinity [mEquiv/l]	QV:SEADATANET	Water body dissolved inorganic carbon [umol/l]	QV:SEADATANET	Water body carbon dioxide partial pressure [microatmospheres]	QV:SEADATANET	Water body total nitrogen [umol/l]	QV:SEADATANET	Water body total phosphorus [umol/l]	QV:SEADATANET	Water body organic phosphorus [umol/l]	QV:SEADATANET	Water body particulate organic carbon {POC} [umol/l]	QV:SEADATANET	Water body organic nitrogen [umol/l]	QV:SEADATANET	Water body dissolved nitrogen [umol/l]	QV:SEADATANET	Water body pH [pH units]	QV:SEADATANET	Water body dissolved phosphorus [umol/l]	QV:SEADATANET	Water body dissolved organic carbon {DOC} [umol/l]	QV:SEADATANET	Water body dissolved inorganic nitrogen (DIN) [umol/l]	QV:SEADATANET	Water body particulate phosphorus [umol/l]	QV:SEADATANET	Water body particulate nitrogen [umol/l]	QV:SEADATANET	QV:SEADATANET:SAMPLE
MTPII-MATER/MINOS MAY96	480	B	1996-06-02T09:00:59	17.97383	36.008	FI35199602003_00480_H09	486	3935	SDN:P01::PSLTZZ01 SDN:L22::TOOL0412 | SDN:P01::DOXYZZXX SDN:L22::TOOL0412 | SDN:P01::DOXYZZXX SDN:L22::TOOL0412 | SDN:P01::NTRIZZXX SDN:L22::TOOL0412 | SDN:P01::NTRZZZXX SDN:L22::TOOL0412 | SDN:P01::NTRAZZXX SDN:L22::TOOL0412 | SDN:P01::PHOSZZXX SDN:L22::TOOL0412 | SDN:P01::AMONZZXX SDN:L22::TOOL0412 | SDN:P01::CPHLZZXX SDN:L22::TOOL0412	SDN:P01::ADEPZZ01 | SDN:P01::PRESPR01 | SDN:P01::PSLTZZ01 | SDN:P01::TEMPPR01 | SDN:P01::DOXYZZXX | SDN:P01::DOXYZZXX | SDN:P01::NTRIZZXX | SDN:P01::NTRZZZXX | SDN:P01::NTRAZZXX | SDN:P01::PHOSZZXX | SDN:P01::AMONZZXX | SDN:P01::CPHLZZXX	http://vocab.nerc.ac.uk/collection/C17/current/35LU | http://seadata.bsh.de/cgi-csr/XML/xmlDownload_V2.pl?edmo=486&identifier=96020030 | http://seadatanet.maris2.nl/v_cdi_v3/print_xml.asp?edmo=486&identifier=FI35199602003_00480_H09	96020030.bot(00480)	Administration and dimensions;Chemical oceanography;Physical oceanography	Administration and dimensions;Carbon, nitrogen and phosphorus;Dissolved gases;Nutrients;Water column temperature and salinity	Dissolved oxygen parameters in the water column;Nitrate concentration parameters in the water column;Phosphate concentration parameters in the water column;Salinity of the water column;Temperature of the water column;Vertical spatial coordinates	ODV	0.4	0.002	20170317	World Geodetic System 84	point	3935	sea level			19960602	09:01:00	19960602	10:01:00	1	Decibars	discrete water samplers					research vessel	MTPII-MATER/MINOS MAY96	96020030	19960521	FI3519960200300480	480	19960602	COM - Physical and Biogeochemical Oceanography Laboratory (LUMINY) (513)	IFREMER / IDM / SISMER - Scientific Information Systems for the SEA (486)	MEDITERRANEAN TARGETED PROJECT MTP II-MATER (9630)	DISSOLVED CHEMICALS IN THE WATER COLUMN (4680)	MTPII-MATER/MINOS MAY96 - Le Suroit (35LU) (19966018)		IFREMER / IDM / SISMER - Scientific Information Systems for the SEA (486)	HYDR01	web data access with registration	SeaDataNet licence	822851	20170317	IFREMER / IDM / SISMER - Scientific Information Systems for the SEA (486)	198.39999	1	10	1	38	1	207.00288	1		9		9	3	1		9	0.01	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									297.60001	1	11	1	38.1	1	195.49698	1		9		9	4	1		9	0.18	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									395.70001	1	12	1	38.2	1	190.11734	1		9		9	5	1		9	0.35	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									594.79999	1	13	1	38.3	1	188.10081	1		9		9	6	1		9	0.52	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									791.59998	1	14	1	38.4	1	188.37411	1		9		9	7	1		9	0.69	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									990.29999	1	15	1	38.5	1	188.84741	1		9		9	8	1		9	0.86	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									1385.09998	1	16	1	38.6	1	193.70377	1		9		9	9	1		9	1.03	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									1679.69995	1	17	1	38.7	1	195.12367	1		9		9	10	1		9	1.2	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									1975.90002	1	18	1	38.8	1	198.1368	1		9		9	11	1		9	1.37	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									2270.69995	1	19	1	38.9	1	201.09993	1		9		9	12	1		9	1.54	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
